,MW
0,4642.855
1,4735.955
2,4747.938
3,4629.486
4,4414.33
5,4230.433
6,4084.326
7,4246.925
8,4844.789
9,5226.145
10,5364.684
11,5499.766
12,5661.583
13,5770.322
14,5795.256
15,5789.575
16,5694.563
17,5430.731
18,4967.295
19,4131.772
20,3297.243
21,2737.356
22,2348.433
23,2002.688
24,1982.334
25,1847.46
26,1759.399
27,1735.983
28,1821.811
29,1860.07
30,1793.575
31,1508.044
32,1237.959
33,1303.516
34,1589.705
35,2035.942
36,2552.679
37,2986.112
38,3303.156
39,3558.737
40,3737.207
41,3803.318
42,3539.256
43,2948.613
44,2607.619
45,2413.38
46,2328.758
47,2358.35
48,2196.571
49,2276.539
50,2400.667
51,2515.691
52,2590.818
53,2625.471
54,2577.148
55,2170.744
56,1534.351
57,1330.49
58,2126.604
59,3070.335
60,3720.544
61,4185.993
62,4597.851
63,5092.043
64,5576.583
65,5864.679
66,5945.18
67,5988.174
68,6129.487
69,6284.712
70,6559.051
