,Date,HE,MW
0,1/1/2023,1,5898.113443
1,1/1/2023,2,6056.121206
2,1/1/2023,3,5191.992898
3,1/1/2023,4,4851.371052
4,1/1/2023,5,5371.115128
5,1/1/2023,6,5031.963683
6,1/1/2023,7,4502.934852
7,1/1/2023,8,3524.142516
8,1/1/2023,9,2979.631141
9,1/1/2023,10,2437.000598
10,1/1/2023,11,-81.46832542
11,1/1/2023,12,2564.087776
12,1/1/2023,13,2158.273359
13,1/1/2023,14,1455.641748
14,1/1/2023,15,-160.335623
15,1/1/2023,16,199.5753984
16,1/1/2023,17,1110.947866
17,1/1/2023,18,1108.324992
18,1/1/2023,19,596.2504671
19,1/1/2023,20,-179.7113763
20,1/1/2023,21,717.0180317
21,1/1/2023,22,587.9097546
22,1/1/2023,23,1050.9319
23,1/1/2023,24,1116.548069
24,1/2/2023,1,-65.73085403
25,1/2/2023,2,568.2137355
26,1/2/2023,3,625.9311701
27,1/2/2023,4,1411.512088
28,1/2/2023,5,1034.621445
29,1/2/2023,6,666.5541553
30,1/2/2023,7,890.7204401
31,1/2/2023,8,3054.173488
32,1/2/2023,9,428.446905
33,1/2/2023,10,589.8370741
34,1/2/2023,11,1103.859371
35,1/2/2023,13,588.3391763
36,1/2/2023,14,-898.2645419
37,1/2/2023,15,992.1523489
38,1/2/2023,16,1088.953898
39,1/2/2023,17,641.5020436
40,1/2/2023,18,2051.712582
41,1/2/2023,19,1579.707017
42,1/2/2023,20,2449.355803
43,1/2/2023,21,2316.962707
44,1/2/2023,23,2660.767195
45,1/2/2023,24,3679.1398
46,1/3/2023,1,3372.498101
47,1/3/2023,2,3603.082883
48,1/3/2023,3,3813.144698
49,1/3/2023,4,2797.437396
50,1/3/2023,6,3258.549787
51,1/3/2023,7,3087.020896
52,1/3/2023,8,3445.376813
53,1/3/2023,9,3901.302003
54,1/3/2023,10,3047.459647
55,1/3/2023,11,5285.187592
56,1/3/2023,12,3716.411627
57,1/3/2023,13,5475.180705
58,1/3/2023,14,5181.862424
59,1/3/2023,15,5786.065459
60,1/3/2023,16,4643.763435
61,1/3/2023,17,2292.026418
62,1/3/2023,18,2817.047932
63,1/3/2023,19,5728.71656
64,1/3/2023,20,5165.27319
65,1/3/2023,21,6173.313281
66,1/3/2023,22,7713.255141
67,1/3/2023,23,6807.07255
68,1/3/2023,24,6975.282234
69,1/4/2023,1,4705.602049
70,1/4/2023,2,4700.996441
71,1/4/2023,3,4435.116231
72,1/4/2023,4,3412.888542
73,1/4/2023,5,1361.463079
74,1/4/2023,6,2845.661381
75,1/4/2023,8,2559.731973
76,1/4/2023,9,1749.333059
77,1/4/2023,10,1472.058456
78,1/4/2023,11,1505.942325
79,1/4/2023,12,3128.481188
80,1/4/2023,13,3768.602915
81,1/4/2023,14,4419.704604
82,1/4/2023,15,6223.028806
83,1/4/2023,16,4914.755886
84,1/4/2023,17,5062.08203
85,1/4/2023,18,4675.243529
86,1/4/2023,19,4457.903674
87,1/4/2023,20,3012.90519
88,1/4/2023,21,4510.077807
89,1/4/2023,22,4254.317942
90,1/4/2023,23,4656.389393
91,1/4/2023,24,4892.726591
92,1/5/2023,1,2984.302546
93,1/5/2023,2,4396.825391
94,1/5/2023,3,1876.263075
95,1/5/2023,4,3748.414827
96,1/5/2023,5,3809.045262
97,1/5/2023,6,3015.322353
98,1/5/2023,7,2830.825737
99,1/5/2023,8,2084.446585
100,1/5/2023,9,3398.69655
101,1/5/2023,10,2612.630114
102,1/5/2023,11,3545.314984
103,1/5/2023,12,3698.208683
104,1/5/2023,13,3898.793373
105,1/5/2023,14,4318.771802
106,1/5/2023,15,4052.689923
107,1/5/2023,16,5750.303891
108,1/5/2023,17,5412.098797
109,1/5/2023,18,4368.770602
110,1/5/2023,19,5348.936982
111,1/5/2023,20,6195.550051
112,1/5/2023,21,5724.22425
113,1/5/2023,22,5569.004468
114,1/5/2023,23,4837.323339
115,1/5/2023,24,6129.779376
116,1/6/2023,1,5394.486657
117,1/6/2023,2,3594.270808
118,1/6/2023,3,4962.063222
119,1/6/2023,4,3989.897686
120,1/6/2023,5,2330.907525
121,1/6/2023,7,2355.641871
122,1/6/2023,8,2805.975451
123,1/6/2023,9,2243.17222
124,1/6/2023,10,3118.116362
125,1/6/2023,11,896.7793092
126,1/6/2023,12,2461.23281
127,1/6/2023,13,2623.703893
128,1/6/2023,14,2657.60665
129,1/6/2023,15,1796.157821
130,1/6/2023,16,1805.181242
131,1/6/2023,17,-208.3585997
132,1/6/2023,18,2218.890141
133,1/6/2023,19,998.5254556
134,1/6/2023,20,-36.9046188
135,1/6/2023,21,-137.3601089
136,1/6/2023,22,659.8743373
137,1/6/2023,23,-617.1505303
138,1/6/2023,24,178.2149076
139,1/7/2023,1,412.2215579
140,1/7/2023,2,-4.13813724
141,1/7/2023,3,-958.3912058
142,1/7/2023,4,1105.544767
143,1/7/2023,5,1285.723695
144,1/7/2023,6,2288.675532
145,1/7/2023,7,1149.601868
146,1/7/2023,8,1053.105228
147,1/7/2023,9,858.1137696
148,1/7/2023,10,159.0780903
149,1/7/2023,11,2124.076894
150,1/7/2023,12,1483.839002
151,1/7/2023,13,700.8402796
152,1/7/2023,14,455.3799056
153,1/7/2023,15,650.660782
154,1/7/2023,16,905.6666224
155,1/7/2023,17,1314.728595
156,1/7/2023,18,1614.615639
157,1/7/2023,19,1270.253565
158,1/7/2023,20,1980.422818
159,1/7/2023,21,-381.4325943
160,1/7/2023,22,1101.258674
161,1/7/2023,23,1273.09232
162,1/7/2023,24,466.9597945
163,1/8/2023,1,1121.527504
164,1/8/2023,2,-532.142149
165,1/8/2023,3,328.6951125
166,1/8/2023,4,-357.9551442
167,1/8/2023,5,1348.142637
168,1/8/2023,6,1643.256193
169,1/8/2023,7,943.7581531
170,1/8/2023,8,-994.524666
171,1/8/2023,9,660.7969518
172,1/8/2023,10,-793.5110611
173,1/8/2023,11,200.8364929
174,1/8/2023,12,521.1164864
175,1/8/2023,13,-676.2014747
176,1/8/2023,14,-1021.912194
177,1/8/2023,15,-75.5448175
178,1/8/2023,16,-620.0545212
179,1/8/2023,17,-195.1477481
180,1/8/2023,18,891.703095
181,1/8/2023,19,-609.7710132
182,1/8/2023,20,857.5258722
183,1/8/2023,21,2431.534521
184,1/8/2023,22,1536.331934
185,1/8/2023,23,298.0275244
186,1/8/2023,24,725.3795782
187,1/9/2023,1,-80.61961326
188,1/9/2023,2,1090.068047
189,1/9/2023,3,1774.710707
190,1/9/2023,4,3977.181293
191,1/9/2023,5,2488.594147
192,1/9/2023,6,2499.35144
193,1/9/2023,7,2031.219969
194,1/9/2023,8,2240.059286
195,1/9/2023,9,2599.533696
196,1/9/2023,10,1654.542274
197,1/9/2023,11,2585.17607
