,Date,HE,Area,MW
0,1/1/2023,1,RTO,6117.732
1,1/1/2023,2,RTO,6556.513
2,1/1/2023,3,RTO,5901.861
3,1/1/2023,4,RTO,5294.705
4,1/1/2023,5,RTO,4776.355
5,1/1/2023,6,RTO,4703.201
6,1/1/2023,7,RTO,4412.105
7,1/1/2023,8,RTO,3699.525
8,1/1/2023,9,RTO,2929.649
9,1/1/2023,10,RTO,2365.1
10,1/1/2023,11,RTO,1880.037
11,1/1/2023,12,RTO,1540.548
12,1/1/2023,13,RTO,1370.936
13,1/1/2023,14,RTO,1366.648
14,1/1/2023,15,RTO,1276.595
15,1/1/2023,16,RTO,1149.783
16,1/1/2023,17,RTO,1017.93
17,1/1/2023,18,RTO,1106.978
18,1/1/2023,19,RTO,1324.457
19,1/1/2023,20,RTO,1400.471
20,1/1/2023,21,RTO,1393.393
21,1/1/2023,22,RTO,1562.591
22,1/1/2023,23,RTO,1615.853
23,1/1/2023,24,RTO,1426.339
24,1/2/2023,1,RTO,1128.557
25,1/2/2023,2,RTO,1029.465
26,1/2/2023,3,RTO,1094.873
27,1/2/2023,4,RTO,1344.397
28,1/2/2023,5,RTO,1439.889
29,1/2/2023,6,RTO,1173.596
30,1/2/2023,7,RTO,1229.209
31,1/2/2023,8,RTO,1289.52
32,1/2/2023,9,RTO,1116.647
33,1/2/2023,10,RTO,1154.251
34,1/2/2023,11,RTO,1119.621
35,1/2/2023,14,RTO,448.033
36,1/2/2023,15,RTO,406.282
37,1/2/2023,16,RTO,602.041
38,1/2/2023,17,RTO,1093.395
39,1/2/2023,18,RTO,1636.88
40,1/2/2023,19,RTO,2113.379
41,1/2/2023,20,RTO,2484.431
42,1/2/2023,21,RTO,2394.367
43,1/2/2023,23,RTO,3343.14
44,1/2/2023,24,RTO,3927.344
45,1/3/2023,1,RTO,4175.561
46,1/3/2023,2,RTO,4161.53
47,1/3/2023,3,RTO,3880.882
48,1/3/2023,4,RTO,3860.629
49,1/3/2023,6,RTO,3756.781
50,1/3/2023,7,RTO,3537.987
51,1/3/2023,8,RTO,3712.289
52,1/3/2023,9,RTO,4069.413
53,1/3/2023,10,RTO,4592.807
54,1/3/2023,11,RTO,4807.195
55,1/3/2023,12,RTO,4776.02
56,1/3/2023,13,RTO,4988.151
57,1/3/2023,14,RTO,5113.975
58,1/3/2023,15,RTO,5260.918
59,1/3/2023,16,RTO,4357.679
60,1/3/2023,17,RTO,3566.101
61,1/3/2023,18,RTO,3988.201
62,1/3/2023,19,RTO,4833.65
63,1/3/2023,20,RTO,5800.726
64,1/3/2023,21,RTO,6536.155
65,1/3/2023,22,RTO,7067.184
66,1/3/2023,23,RTO,6948.435
67,1/3/2023,24,RTO,6511.737
68,1/4/2023,1,RTO,6043.822
69,1/4/2023,2,RTO,5270.541
70,1/4/2023,3,RTO,4235.543
71,1/4/2023,4,RTO,3465.491
72,1/4/2023,5,RTO,3332.836
73,1/4/2023,6,RTO,2796.779
74,1/4/2023,8,RTO,2230.365
75,1/4/2023,9,RTO,2050.205
76,1/4/2023,10,RTO,2386.214
77,1/4/2023,11,RTO,2521.832
78,1/4/2023,12,RTO,3413.796
79,1/4/2023,13,RTO,4115.292
80,1/4/2023,14,RTO,4593.408
81,1/4/2023,15,RTO,5183.834
82,1/4/2023,16,RTO,5100.604
83,1/4/2023,17,RTO,4520.585
84,1/4/2023,18,RTO,4465.737
85,1/4/2023,19,RTO,4274.577
86,1/4/2023,20,RTO,4256.68
87,1/4/2023,21,RTO,3892.067
88,1/4/2023,22,RTO,4124.412
89,1/4/2023,23,RTO,4910.734
90,1/4/2023,24,RTO,4991.852
91,1/5/2023,1,RTO,4571.735
92,1/5/2023,2,RTO,3732.61
93,1/5/2023,3,RTO,3086.866
94,1/5/2023,4,RTO,3005.689
95,1/5/2023,5,RTO,2789.36
96,1/5/2023,6,RTO,2600.059
97,1/5/2023,7,RTO,2435.03
